"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","51","Old tests for the site automationexercise.com","","","","","Test Case 24: Download Invoice after purchase order",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","66","Old tests for the site automationexercise.com","","","","","Test Case 10: Verify Subscription in home page",""
"passed","Sat Jan 04 08:25:29 GMT 2025","Sat Jan 04 08:25:29 GMT 2025","105","API tests for the site automationexercise.com","","","","","API 12: DELETE METHOD To Delete User Account",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","83","Old tests for the site automationexercise.com","","","","","Test Case 1: Register User",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","56","Old tests for the site automationexercise.com","","","","","Test Case 20: Search Products and Verify Cart After Login",""
"passed","Sat Jan 04 08:25:27 GMT 2025","Sat Jan 04 08:25:27 GMT 2025","105","API tests for the site automationexercise.com","","","","","API 3: Get All Brands List",""
"skipped","Sat Jan 04 08:25:55 GMT 2025","Sat Jan 04 08:25:55 GMT 2025","73","Tests for the sections: Products","","","","","Test Case 9: Search Product",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","51","Old tests for the site automationexercise.com","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"passed","Sat Jan 04 08:25:28 GMT 2025","Sat Jan 04 08:25:28 GMT 2025","107","API tests for the site automationexercise.com","","","","","API 11: POST To Create/Register User Account",""
"passed","Sat Jan 04 08:25:28 GMT 2025","Sat Jan 04 08:25:28 GMT 2025","89","API tests for the site automationexercise.com","","","","","API 9: DELETE To Verify Login",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","58","Old tests for the site automationexercise.com","","","","","Test Case 17: Remove Products From Cart",""
"passed","Sat Jan 04 08:25:09 GMT 2025","Sat Jan 04 08:25:11 GMT 2025","1235","Browser: undefined (131.0.6778.139). Tests for the sections: Other tests","","","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","57","Old tests for the site automationexercise.com","","","","","Test Case 19: View & Cart Brand Products",""
"passed","Sat Jan 04 08:24:56 GMT 2025","Sat Jan 04 08:25:01 GMT 2025","4487","Browser: undefined (131.0.6778.139). Tests for the sections: Cart, Checkout, Payment","","","","","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity",""
"passed","Sat Jan 04 08:25:27 GMT 2025","Sat Jan 04 08:25:27 GMT 2025","99","API tests for the site automationexercise.com","","","","","API 2: POST To All Products List",""
"skipped","Sat Jan 04 08:25:44 GMT 2025","Sat Jan 04 08:25:45 GMT 2025","74","Tests for the sections: Contact Us, Subscriptions","","","","","Test Case 6: Contact Us Form",""
"skipped","Sat Jan 04 08:25:57 GMT 2025","Sat Jan 04 08:25:57 GMT 2025","25","Tests for the sections: Sign Up, Login","","","","","Test Case 5: Register User with existing email",""
"passed","Sat Jan 04 08:25:28 GMT 2025","Sat Jan 04 08:25:28 GMT 2025","103","API tests for the site automationexercise.com","","","","","API 10: POST To Verify Login with invalid details",""
"skipped","Sat Jan 04 08:25:55 GMT 2025","Sat Jan 04 08:25:55 GMT 2025","78","Tests for the sections: Products","","","","","Test Case 8: Verify All Products and product detail page",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","76","Old tests for the site automationexercise.com","","","","","Test Case 3: Login User with incorrect email and password",""
"skipped","Sat Jan 04 08:25:55 GMT 2025","Sat Jan 04 08:25:55 GMT 2025","65","Tests for the sections: Products","","","","","Test Case 19: View & Cart Brand Products",""
"passed","Sat Jan 04 08:25:28 GMT 2025","Sat Jan 04 08:25:28 GMT 2025","187","API tests for the site automationexercise.com","","","","","API 13: PUT METHOD To Update User Account",""
"skipped","Sat Jan 04 08:25:59 GMT 2025","Sat Jan 04 08:25:59 GMT 2025","53","Old tests for the site automationexercise.com","","","","","Test Case 23: Verify address details in checkout page",""
"passed","Sat Jan 04 08:25:28 GMT 2025","Sat Jan 04 08:25:28 GMT 2025","91","API tests for the site automationexercise.com","","","","","API 8: POST To Verify Login without email parameter",""
"passed","Sat Jan 04 08:25:28 GMT 2025","Sat Jan 04 08:25:29 GMT 2025","93","API tests for the site automationexercise.com","","","","","API 14: GET user account detail by email",""
"skipped","Sat Jan 04 08:25:44 GMT 2025","Sat Jan 04 08:25:45 GMT 2025","68","Tests for the sections: Contact Us, Subscriptions","","","","","Test Case 10: Verify Subscription in home page",""
"skipped","Sat Jan 04 08:25:55 GMT 2025","Sat Jan 04 08:25:55 GMT 2025","70","Tests for the sections: Products","","","","","Test Case 20: Search Products and Verify Cart After Login",""
