"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1707","Test Case 8: Verify All Products and product detail page","Old tests for the site automationexercise.com","Wed Dec 25 22:40:18 UTC 2024","passed","Wed Dec 25 22:40:19 UTC 2024","","","",""
"","8524","Test Case 3: Login User with incorrect email and password","Tests for the sections: Sign Up, Login","Wed Dec 25 22:39:24 UTC 2024","passed","Wed Dec 25 22:39:32 UTC 2024","","","",""
"","7685","Test Case 1: Register User","Tests for the sections: Sign Up, Login","Wed Dec 25 22:39:07 UTC 2024","passed","Wed Dec 25 22:39:14 UTC 2024","","","",""
"","3064","Test Case 6: Contact Us Form","Old tests for the site automationexercise.com","Wed Dec 25 22:40:13 UTC 2024","passed","Wed Dec 25 22:40:16 UTC 2024","","","",""
"","8666","Test Case 16 + 23: Place Order: Login before Checkout + Verify address details in checkout","Tests for the sections: Cart, Checkout, Payment","Wed Dec 25 22:38:01 UTC 2024","passed","Wed Dec 25 22:38:10 UTC 2024","","","",""
"","1251","Test Case 11: Verify Subscription in Cart page","Tests for the sections: Contact Us, Subscriptions","Wed Dec 25 22:38:30 UTC 2024","passed","Wed Dec 25 22:38:31 UTC 2024","","","",""
"","54","API 6: POST To Search Product without search_product parameter","API tests for the site automationexercise.com","Wed Dec 25 22:37:17 UTC 2024","passed","Wed Dec 25 22:37:17 UTC 2024","","","",""
"","1889","Test Case 18: View Category Products","Old tests for the site automationexercise.com","Wed Dec 25 22:41:04 UTC 2024","passed","Wed Dec 25 22:41:06 UTC 2024","","","",""
"","14053","Test Case 14: Place Order: Register while Checkout","Tests for the sections: Cart, Checkout, Payment","Wed Dec 25 22:37:33 UTC 2024","passed","Wed Dec 25 22:37:47 UTC 2024","","","",""
"","2739","Test Case 21: Add review on product","Old tests for the site automationexercise.com","Wed Dec 25 22:41:10 UTC 2024","passed","Wed Dec 25 22:41:13 UTC 2024","","","",""
"","1885","Test Case 19: View & Cart Brand Products","Tests for the sections: Products","Wed Dec 25 22:39:03 UTC 2024","passed","Wed Dec 25 22:39:05 UTC 2024","","","",""
"","62","API 3: Get All Brands List","API tests for the site automationexercise.com","Wed Dec 25 22:37:17 UTC 2024","passed","Wed Dec 25 22:37:17 UTC 2024","","","",""
"","552","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality","Tests for the sections: Other tests","Wed Dec 25 22:38:36 UTC 2024","passed","Wed Dec 25 22:38:37 UTC 2024","","","",""
"","45","API 8: POST To Verify Login without email parameter","API tests for the site automationexercise.com","Wed Dec 25 22:37:17 UTC 2024","passed","Wed Dec 25 22:37:18 UTC 2024","","","",""
"","1539","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality","Old tests for the site automationexercise.com","Wed Dec 25 22:41:40 UTC 2024","passed","Wed Dec 25 22:41:41 UTC 2024","","","",""
"","2000","Test Case 18: View Category Products","Tests for the sections: Products","Wed Dec 25 22:38:57 UTC 2024","passed","Wed Dec 25 22:38:59 UTC 2024","","","",""
"","2485","Test Case 2: Login User with correct email and password","Old tests for the site automationexercise.com","Wed Dec 25 22:40:03 UTC 2024","passed","Wed Dec 25 22:40:06 UTC 2024","","","",""
"","1095","Test Case 7: Verify Test Cases Page","Tests for the sections: Other tests","Wed Dec 25 22:38:33 UTC 2024","passed","Wed Dec 25 22:38:34 UTC 2024","","","",""
"","2111","Test Case 3: Login User with incorrect email and password","Old tests for the site automationexercise.com","Wed Dec 25 22:40:06 UTC 2024","passed","Wed Dec 25 22:40:08 UTC 2024","","","",""
"","100","API 1(2): Get All Products List (with @alias)","API tests for the site automationexercise.com","Wed Dec 25 22:37:17 UTC 2024","passed","Wed Dec 25 22:37:17 UTC 2024","","","",""
"","1650","Test Case 11: Verify Subscription in Cart page","Old tests for the site automationexercise.com","Wed Dec 25 22:40:23 UTC 2024","passed","Wed Dec 25 22:40:25 UTC 2024","","","",""
"","2008","Test Case 13: Verify product quantity in Cart by add from ""Product details page""","Tests for the sections: Cart, Checkout, Payment","Wed Dec 25 22:37:28 UTC 2024","passed","Wed Dec 25 22:37:30 UTC 2024","","","",""
"","1829","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality","Tests for the sections: Other tests","Wed Dec 25 22:38:34 UTC 2024","passed","Wed Dec 25 22:38:36 UTC 2024","","","",""
"","2293","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality","Old tests for the site automationexercise.com","Wed Dec 25 22:41:37 UTC 2024","passed","Wed Dec 25 22:41:39 UTC 2024","","","",""
"","1992","Test Case 13: Verify Product quantity in Cart","Old tests for the site automationexercise.com","Wed Dec 25 22:40:29 UTC 2024","passed","Wed Dec 25 22:40:31 UTC 2024","","","",""
"","1891","Test Case 22: Add to cart from Recommended items","Tests for the sections: Cart, Checkout, Payment","Wed Dec 25 22:37:31 UTC 2024","passed","Wed Dec 25 22:37:33 UTC 2024","","","",""
"","1550","Test Case 9: Search Product","Tests for the sections: Products","Wed Dec 25 22:38:43 UTC 2024","passed","Wed Dec 25 22:38:44 UTC 2024","","","",""
"","3597","Test Case 12: Add Products in Cart","Old tests for the site automationexercise.com","Wed Dec 25 22:40:25 UTC 2024","passed","Wed Dec 25 22:40:29 UTC 2024","","","",""
"","1726","Test Case 17: Remove Products From Cart","Old tests for the site automationexercise.com","Wed Dec 25 22:41:02 UTC 2024","passed","Wed Dec 25 22:41:04 UTC 2024","","","",""
"","9885","Test Case 5: Register User with existing email","Tests for the sections: Sign Up, Login","Wed Dec 25 22:39:42 UTC 2024","passed","Wed Dec 25 22:39:52 UTC 2024","","","",""
"","2667","Test Case 4: Logout User","Old tests for the site automationexercise.com","Wed Dec 25 22:40:08 UTC 2024","passed","Wed Dec 25 22:40:11 UTC 2024","","","",""
"","2155","Test Case 5: Register User with existing email","Old tests for the site automationexercise.com","Wed Dec 25 22:40:11 UTC 2024","passed","Wed Dec 25 22:40:13 UTC 2024","","","",""
"","1506","Test Case 10: Verify Subscription in home page","Old tests for the site automationexercise.com","Wed Dec 25 22:40:22 UTC 2024","passed","Wed Dec 25 22:40:23 UTC 2024","","","",""
"","9749","Test Case 24: Download Invoice after purchase order","Tests for the sections: Cart, Checkout, Payment","Wed Dec 25 22:38:10 UTC 2024","passed","Wed Dec 25 22:38:20 UTC 2024","","","",""
"","71","API 10: POST To Verify Login with invalid details","API tests for the site automationexercise.com","Wed Dec 25 22:37:18 UTC 2024","passed","Wed Dec 25 22:37:18 UTC 2024","","","",""
"","2528","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity","Tests for the sections: Cart, Checkout, Payment","Wed Dec 25 22:37:25 UTC 2024","passed","Wed Dec 25 22:37:28 UTC 2024","","","",""
"","53","API 9: DELETE To Verify Login","API tests for the site automationexercise.com","Wed Dec 25 22:37:18 UTC 2024","passed","Wed Dec 25 22:37:18 UTC 2024","","","",""
"","2175","Test Case 19: View & Cart Brand Products","Old tests for the site automationexercise.com","Wed Dec 25 22:41:06 UTC 2024","passed","Wed Dec 25 22:41:08 UTC 2024","","","",""
"","4031","Test Case 21: Add review on product","Tests for the sections: Products","Wed Dec 25 22:38:59 UTC 2024","passed","Wed Dec 25 22:39:03 UTC 2024","","","",""
"","10376","Test Case 15: Place Order: Register before Checkout","Old tests for the site automationexercise.com","Wed Dec 25 22:40:45 UTC 2024","passed","Wed Dec 25 22:40:55 UTC 2024","","","",""
"","49","API 2: POST To All Products List","API tests for the site automationexercise.com","Wed Dec 25 22:37:17 UTC 2024","passed","Wed Dec 25 22:37:17 UTC 2024","","","",""
"","12217","Test Case 20: Search Products and Verify Cart After Login","Tests for the sections: Products","Wed Dec 25 22:38:44 UTC 2024","passed","Wed Dec 25 22:38:56 UTC 2024","","","",""
"","14024","Test Case 15: Place Order: Register before Checkout","Tests for the sections: Cart, Checkout, Payment","Wed Dec 25 22:37:47 UTC 2024","passed","Wed Dec 25 22:38:01 UTC 2024","","","",""
"","1337","Test Case 22: Add to cart from Recommended items","Old tests for the site automationexercise.com","Wed Dec 25 22:41:13 UTC 2024","passed","Wed Dec 25 22:41:15 UTC 2024","","","",""
"","131","API 13: PUT METHOD To Update User Account","API tests for the site automationexercise.com","Wed Dec 25 22:37:18 UTC 2024","passed","Wed Dec 25 22:37:18 UTC 2024","","","",""
"","65","API 11: POST To Create/Register User Account","API tests for the site automationexercise.com","Wed Dec 25 22:37:17 UTC 2024","passed","Wed Dec 25 22:37:17 UTC 2024","","","",""
"","8849","Test Case 23: Verify address details in checkout page","Old tests for the site automationexercise.com","Wed Dec 25 22:41:15 UTC 2024","passed","Wed Dec 25 22:41:23 UTC 2024","","","",""
"","1453","API 1(3): __Mocked_DATA__ Get All Products List","API tests with mocked data","Wed Dec 25 22:37:20 UTC 2024","passed","Wed Dec 25 22:37:21 UTC 2024","","","",""
"","2182","Test Case 9: Search Product","Old tests for the site automationexercise.com","Wed Dec 25 22:40:20 UTC 2024","passed","Wed Dec 25 22:40:22 UTC 2024","","","",""
"","1047","Test Case 17: Remove Products From Cart","Tests for the sections: Cart, Checkout, Payment","Wed Dec 25 22:37:30 UTC 2024","passed","Wed Dec 25 22:37:31 UTC 2024","","","",""
"","13355","Test Case 24: Download Invoice after purchase order","Old tests for the site automationexercise.com","Wed Dec 25 22:41:24 UTC 2024","passed","Wed Dec 25 22:41:37 UTC 2024","","","",""
"","61","API 4: PUT To All Brands List","API tests for the site automationexercise.com","Wed Dec 25 22:37:17 UTC 2024","passed","Wed Dec 25 22:37:17 UTC 2024","","","",""
"","10198","Test Case 4: Logout User","Tests for the sections: Sign Up, Login","Wed Dec 25 22:39:32 UTC 2024","passed","Wed Dec 25 22:39:42 UTC 2024","","","",""
"","8983","Test Case 2: Login User with correct email and password","Tests for the sections: Sign Up, Login","Wed Dec 25 22:39:14 UTC 2024","passed","Wed Dec 25 22:39:23 UTC 2024","","","",""
"","211","API 1: Get All Products List","API tests for the site automationexercise.com","Wed Dec 25 22:37:16 UTC 2024","passed","Wed Dec 25 22:37:17 UTC 2024","","","",""
"","4838","Test Case 6: Contact Us Form","Tests for the sections: Contact Us, Subscriptions","Wed Dec 25 22:38:24 UTC 2024","passed","Wed Dec 25 22:38:29 UTC 2024","","","",""
